Name	RA	Dec	V_ref	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
BD -11 162	00 52 15.069	-10 39 46.09	11.184	-0.082	-1.115	0.051	0.092	0.145	17	14	0.0015	0.0015	0.0031	0.0015	0.0014	0.0023	
92 309	00 53 14.047	+00 46 02.14	13.842	0.513	-0.024	0.326	0.325	0.652	2	1	0.0035	0.0057	0.0028	0.0014	0.0035	0.0014	
92 312	00 53 16.533	+00 48 28.90	10.598	1.636	1.992	0.898	0.906	1.806	5	5	0.0014	0.0025	0.0061	0.0005	0.0006	0.0011	
92 322	00 53 46.962	+00 47 34.91	12.676	0.528	-0.002	0.302	0.305	0.608	2	1	0.0007	0.0049	0.0028	0.0014	0.0007	0.0007	
92 245	00 54 16.14	+00 39 54.6	13.818	1.418	1.189	0.929	0.907	1.836	21	8	0.0028	0.0079	0.0301	0.0024	0.0024	0.0028	
92 248	00 54 30.77	+00 40 16.9	15.346	1.128	1.289	0.69	0.553	1.245	4	2	0.0255	0.016	0.0955	0.0215	0.0145	0.0175	
92 249	00 54 33.589	+00 41 05.39	14.325	0.699	0.24	0.399	0.37	0.77	17	8	0.0049	0.0085	0.0114	0.0046	0.0065	0.0073	
92 250	00 54 37.154	+00 38 57.57	13.178	0.814	0.48	0.446	0.394	0.84	20	9	0.0022	0.0034	0.0074	0.0022	0.0022	0.0029	
92 330	00 54 43.371	+00 43 26.09	15.073	0.568	-0.115	0.331	0.334	0.666	2	1	0.0141	0.0297	0.0163	0.0304	nan	0.0304	
92 252	00 54 47.255	+00 39 24.55	14.932	0.517	-0.14	0.326	0.332	0.666	41	18	0.0033	0.0055	0.0082	0.0047	0.0072	0.0068	
92 253	00 54 51.364	+00 40 19.73	14.085	1.131	0.955	0.719	0.616	1.337	39	17	0.0032	0.0062	0.0221	0.0027	0.0043	0.005	
92 335	00 54 58.294	+00 44 00.63	12.523	0.672	0.208	0.38	0.338	0.719	2	1	0.0007	0.0028	0.0049	nan	0.0014	0.0014	
92 339	00 55 03.25	+00 44 11.0	15.579	0.449	-0.177	0.306	0.339	0.645	19	8	0.0087	0.0117	0.0126	0.0117	0.0197	0.0177	
92 342	00 55 09.905	+00 43 12.88	11.615	0.435	-0.037	0.265	0.271	0.537	73	59	0.0008	0.0006	0.0016	0.0007	0.0007	0.0012	
92 188	00 55 10.48	+00 23 09.2	14.751	1.05	0.751	0.679	0.573	1.254	14	6	0.0096	0.0187	0.0551	0.0051	0.0043	0.0088	
92 409	00 55 11.977	+00 55 57.53	10.627	1.138	1.136	0.734	0.625	1.361	5	3	0.0031	0.0027	0.0085	0.0022	0.0027	0.0018	
92 410	00 55 14.254	+01 01 51.05	14.984	0.398	-0.134	0.239	0.242	0.484	27	13	0.0058	0.0064	0.0083	0.0052	0.0102	0.0117	
92 412	00 55 15.666	+01 01 54.33	15.036	0.457	-0.152	0.285	0.304	0.589	27	13	0.0054	0.0077	0.0133	0.0069	0.0094	0.0106	
92 259	00 55 21.618	+00 40 31.00	14.997	0.642	0.108	0.37	0.452	0.821	3	1	0.0115	0.0219	0.0214	0.0191	0.0202	0.015	
92 345	00 55 23.753	+00 51 07.19	15.216	0.745	0.121	0.465	0.476	0.941	2	1	0.0007	0.0014	0.0339	0.0057	0.0113	0.0057	
92 347	00 55 26.072	+00 50 48.86	15.752	0.543	-0.097	0.339	0.318	0.658	4	2	0.0255	0.028	0.0355	0.0295	0.0755	0.0995	
92 348	00 55 29.457	+00 44 32.78	12.109	0.598	0.056	0.345	0.341	0.688	4	2	0.001	0.0015	0.0035	0.0015	0.0005	0.002	
92 417	00 55 32.20	+00 53 07.3	15.922	0.477	-0.185	0.351	0.305	0.657	6	3	0.0127	0.0188	0.0318	0.0151	0.0678	0.0625	
92 260	00 55 32.938	+00 38 23.07	15.071	1.162	1.115	0.719	0.608	1.328	9	4	0.009	0.0093	0.0477	0.007	0.0057	0.008	
92 263	00 55 39.384	+00 36 19.50	11.782	1.046	0.844	0.562	0.521	1.083	79	60	0.0008	0.0007	0.0018	0.0006	0.0006	0.0007	
92 497	00 55 54.346	+01 11 42.13	13.642	0.729	0.257	0.404	0.378	0.783	1	1	nan	nan	nan	nan	nan	nan	
92 498	00 55 56.529	+01 10 40.86	14.408	1.01	0.794	0.648	0.531	1.181	1	1	nan	nan	nan	nan	nan	nan	
92 500	00 55 57.986	+01 10 25.14	15.841	1.003	0.211	0.738	0.599	1.338	1	1	nan	nan	nan	nan	nan	nan	
92 425	00 55 58.180	+00 52 58.49	13.941	1.191	1.173	0.755	0.627	1.384	36	19	0.0038	0.0067	0.0115	0.0023	0.0027	0.0038	
92 426	00 55 59.594	+00 52 54.39	14.466	0.729	0.184	0.412	0.396	0.809	8	4	0.0099	0.0131	0.0293	0.0078	0.0124	0.012	
92 501	00 56 00.113	+01 10 51.22	12.958	0.61	0.068	0.345	0.331	0.677	1	1	nan	nan	nan	nan	nan	nan	
92 355	00 56 05.678	+00 50 46.78	14.965	1.164	1.201	0.759	0.645	1.406	15	7	0.0088	0.0124	0.0465	0.007	0.0052	0.009	
92 427	00 56 06.648	+01 00 20.83	14.953	0.809	0.352	0.462	2.922	3.275	2	1	0.0021	0.0085	0.0233	0.0014	0.0113	0.0092	
92 502	00 56 08.126	+01 04 25.04	11.812	0.486	-0.095	0.284	0.292	0.576	1	1	nan	nan	nan	nan	nan	nan	
92 430	00 56 15.198	+00 53 18.20	14.44	0.567	-0.04	0.338	0.338	0.676	35	18	0.0041	0.0052	0.0081	0.0029	0.0049	0.0051	
92 276	00 56 26.598	+00 41 50.72	12.036	0.629	0.067	0.368	0.357	0.726	21	11	0.0039	0.0022	0.0039	0.0031	0.0031	0.0052	
92 282	00 56 46.817	+00 38 29.50	12.969	0.318	-0.038	0.201	0.221	0.422	27	15	0.0031	0.0023	0.0044	0.0017	0.0023	0.0033	
92 507	00 56 50.777	+01 05 59.65	11.332	0.932	0.688	0.507	0.461	0.969	3	2	0.0006	0.0046	0.0006	0.0012	0.0006	0.0012	
92 508	00 56 51.196	+01 09 34.19	11.679	0.529	-0.047	0.318	0.32	0.639	3	2	0.0035	0.0046	0.0029	0.0058	0.0029	0.0029	
92 364	00 56 52.235	+00 43 53.58	11.673	0.607	-0.037	0.356	0.357	0.714	4	2	0.0015	0.0015	0.0085	0.0045	0.001	0.0055	
92 433	00 56 53.726	+01 00 41.72	11.667	0.655	0.11	0.367	0.348	0.716	3	2	0.0006	0.0035	0.0115	0.0029	0.0017	0.0023	
92 288	00 57 17.005	+00 36 48.67	11.631	0.858	0.472	0.491	0.441	0.932	72	57	0.0011	0.0007	0.0014	0.0006	0.0008	0.0011	
F 11	01 04 21.676	+04 13 37.04	12.065	-0.239	-0.988	-0.118	-0.142	-0.259	91	75	0.0007	0.0007	0.0017	0.0006	0.001	0.0011	
F 11A	01 04 27.97	+04 11 55.4	14.475	0.841	0.454	0.479	0.426	0.907	16	7	0.0027	0.0046	0.0128	0.0036	0.0075	0.0098	
F 11B	01 04 28.389	+04 11 25.09	13.784	0.747	0.234	0.437	0.412	0.849	14	7	0.0025	0.0026	0.0043	0.0021	0.0036	0.0055	
F 16	01 54 34.633	-06 45 59.67	12.405	-0.008	0.013	-0.007	0.002	-0.004	59	46	0.0007	0.0007	0.0018	0.0008	0.0013	0.0013	
93 407	01 54 37.126	+00 53 47.93	11.971	0.852	0.564	0.487	0.421	0.908	5	3	0.0027	0.0031	0.0134	0.0031	0.0036	0.0027	
93 317	01 54 37.728	+00 43 00.57	11.546	0.488	-0.053	0.293	0.299	0.592	53	44	0.0005	0.0006	0.0012	0.0006	0.0006	0.0006	
93 333	01 55 05.218	+00 45 42.57	12.009	0.833	0.436	0.469	0.422	0.892	54	44	0.0009	0.0012	0.0021	0.0007	0.0009	0.0009	
93 424	01 55 26.364	+00 56 42.63	11.619	1.083	0.929	0.553	0.501	1.056	55	44	0.0006	0.001	0.0018	0.0006	0.0005	0.0006	
G3 33	02 00 12.959	+13 03 07.01	12.298	1.802	1.306	1.355	1.752	3.103	13	7	0.0032	0.0034	0.0098	0.0033	0.0017	0.0037	
PG0220+132B	02 23 33.863	+13 28 03.98	14.216	0.937	0.319	0.562	0.496	1.058	3	2	0.0081	0.0375	0.0583	0.0058	0.0127	0.0069	
PG0220+132	02 23 38.419	+13 27 34.70	14.76	-0.132	-0.922	-0.05	-0.12	-0.17	5	3	0.0063	0.0112	0.0103	0.0098	0.017	0.0264	
PG0220+132A	02 23 39.989	+13 27 29.89	15.771	0.783	-0.339	0.514	0.481	0.995	3	2	0.015	0.0699	0.0537	0.011	0.0589	0.0479	
F 22	02 30 16.627	+05 15 50.70	12.798	-0.052	-0.809	-0.103	-0.105	-0.206	80	70	0.0009	0.0007	0.0015	0.0007	0.0013	0.0013	
PG0231+051E	02 33 28.872	+05 19 48.38	13.809	0.677	0.207	0.383	0.369	0.752	15	8	0.0019	0.0014	0.0019	0.0006	0.0013	0.0019	
PG0231+051D	02 33 34.00	+05 19 30.9	14.031	1.077	1.026	0.671	0.584	1.252	19	11	0.0018	0.0022	0.0081	0.0011	0.0029	0.0034	
PG0231+051A	02 33 40.067	+05 17 40.68	12.768	0.711	0.271	0.405	0.388	0.794	16	10	0.0004	0.0011	0.0007	0.0005	0.0015	0.0017	
PG0231+051	02 33 41.360	+05 18 43.63	16.096	-0.32	-1.214	-0.144	-0.373	-0.502	33	18	0.0055	0.0057	0.0028	0.0117	0.0627	0.0654	
PG0231+051B	02 33 45.528	+05 17 33.30	14.732	1.437	1.279	0.951	0.991	1.933	26	14	0.0017	0.0049	0.0119	0.0007	0.0015	0.0022	
PG0231+051C	02 33 48.153	+05 20 26.36	13.707	0.678	0.078	0.396	0.385	0.783	16	9	0.0009	0.0019	0.0011	0.0007	0.0012	0.0019	
F 24	02 35 07.592	+03 43 56.79	12.412	-0.203	-1.182	0.087	0.361	0.444	128	115	0.001	0.0006	0.0017	0.0008	0.001	0.0008	
F 24A	02 35 16.611	+03 43 16.78	13.822	0.525	0.034	0.314	0.319	0.635	20	10	0.0016	0.0025	0.0036	0.0016	0.0026	0.0031	
F 24B	02 35 18.333	+03 42 40.37	13.546	0.668	0.188	0.382	0.367	0.749	19	10	0.0018	0.002	0.0035	0.0015	0.0021	0.002	
F 24C	02 35 26.318	+03 41 50.41	11.761	1.133	1.007	0.598	0.535	1.127	18	9	0.0015	0.0012	0.0036	0.0005	0.0011	0.0008	
94 171	02 53 38.805	+00 17 18.60	12.659	0.817	0.304	0.48	0.483	0.964	18	9	0.0028	0.0035	0.0045	0.0035	0.0019	0.0038	
94 296	02 55 19.985	+00 28 11.99	12.255	0.75	0.235	0.415	0.387	0.803	2	1	0.0021	0.0014	0.0014	0.0021	0.0021	nan	
94 394	02 56 14.276	+00 35 11.57	12.273	0.545	-0.047	0.344	0.33	0.676	2	1	0.0028	0.0014	0.0014	0.0007	0.0014	0.0007	
94 401	02 56 30.800	+00 40 06.88	14.293	0.638	0.098	0.389	0.369	0.759	2	1	0.0014	0.0028	0.012	0.0064	0.0035	0.0099	
94 242	02 57 21.211	+00 18 38.67	11.725	0.303	0.11	0.176	0.184	0.362	123	116	0.0005	0.0005	0.0012	0.0005	0.0006	0.0007	
BD -2 524	02 57 39.679	-01 59 48.58	10.304	-0.111	-0.621	-0.048	-0.06	-0.108	88	78	0.0006	0.0006	0.0019	0.0004	0.0006	0.0006	
94 251	02 57 46.982	+00 16 02.72	11.204	1.219	1.281	0.659	0.586	1.245	115	107	0.0005	0.0006	0.0018	0.0003	0.0004	0.0005	
94 702	02 58 13.362	+01 10 54.30	11.597	1.416	1.617	0.757	0.675	1.431	114	106	0.0006	0.0007	0.0028	0.0004	0.0004	0.0005	
GD 50	03 48 50.19	-00 58 32.0	14.063	-0.276	-1.191	-0.147	-0.18	-0.325	47	28	0.0032	0.0036	0.0051	0.0042	0.0079	0.0102	
95 15	03 52 40.330	-00 05 22.77	11.302	0.712	0.157	0.424	0.385	0.809	2	1	0.0007	0.0007	0.0035	0.0014	0.0014	0.0028	
95 16	03 52 40.63	-00 05 05.6	14.313	1.306	1.322	0.796	0.676	1.472	4	2	0.012	0.016	0.031	0.0135	0.006	0.009	
95 301	03 52 41.167	+00 31 21.44	11.216	1.293	1.298	0.692	0.62	1.311	51	44	0.0012	0.0005	0.002	0.0005	0.0007	0.0012	
95 302	03 52 42.176	+00 31 17.71	11.694	0.825	0.447	0.471	0.42	0.891	29	20	0.002	0.0015	0.0056	0.0013	0.0011	0.0017	
95 96	03 52 54.194	+00 00 18.82	10.01	0.147	0.077	0.079	0.095	0.174	71	56	0.0015	0.0012	0.0027	0.001	0.0011	0.0013	
95 97	03 52 57.503	-00 00 19.28	14.818	0.906	0.38	0.522	0.546	1.068	2	1	0.0007	0.0226	0.0212	0.0028	0.0191	0.0212	
95 98	03 53 00.23	+00 02 48.4	14.448	1.181	1.092	0.723	0.62	1.342	2	1	0.0007	0.0014	0.0177	0.0092	0.0071	0.0163	
95 100	03 53 00.791	+00 00 15.81	15.633	0.791	0.051	0.538	0.421	0.961	3	1	0.0283	0.0785	0.1132	0.0144	0.0572	0.0439	
95 101	03 53 04.14	+00 02 49.5	12.677	0.778	0.263	0.436	0.426	0.863	2	1	0.0028	0.0028	0.0099	0.0064	0.0064	0.012	
95 102	03 53 07.588	+00 01 10.73	15.622	1.001	0.162	0.448	0.618	1.065	3	1	0.0335	0.0803	0.0612	0.0115	0.0508	0.0618	
95 252	03 53 10.636	+00 27 22.74	15.394	1.452	1.178	0.816	0.747	1.566	6	3	0.0065	0.0257	0.0433	0.009	0.0086	0.0131	
95 190	03 53 13.251	+00 16 22.62	12.627	0.287	0.236	0.195	0.22	0.415	44	22	0.002	0.0017	0.0039	0.0017	0.0015	0.0021	
95 193	03 53 20.593	+00 16 34.57	14.338	1.211	1.239	0.748	0.616	1.366	20	10	0.0049	0.0063	0.0255	0.0042	0.0034	0.0058	
95 105	03 53 21.329	-00 00 18.64	13.574	0.976	0.627	0.55	0.536	1.088	1	1	nan	nan	nan	nan	nan	nan	
95 106	03 53 25.190	+00 01 22.64	15.137	1.251	0.369	0.394	0.508	0.903	2	1	0.0064	0.0615	0.024	0.152	0.0127	0.1407	
95 107	03 53 25.66	+00 02 20.5	16.275	1.324	1.115	0.947	0.962	1.907	2	1	0.0035	0.1068	0.1732	0.0438	0.0226	0.0212	
95 112	03 53 40.114	-00 01 11.42	15.502	0.662	0.077	0.605	0.62	1.227	1	1	nan	nan	nan	nan	nan	nan	
95 41	03 53 41.201	-00 02 32.41	14.06	0.903	0.297	0.589	0.585	1.176	1	1	nan	nan	nan	nan	nan	nan	
95 42	03 53 43.68	-00 04 33.9	15.606	-0.215	-1.111	-0.119	-0.18	-0.3	41	18	0.0058	0.0073	0.0064	0.0075	0.0269	0.0276	
95 317	03 53 44.183	+00 29 50.02	13.449	1.32	1.12	0.768	0.708	1.476	24	11	0.0035	0.0067	0.0131	0.0033	0.0012	0.0035	
95 263	03 53 47.002	+00 26 40.82	12.679	1.5	1.559	0.801	0.711	1.513	19	10	0.003	0.0034	0.0094	0.0023	0.0011	0.0028	
95 115	03 53 47.821	-00 00 47.39	14.68	0.836	0.096	0.577	0.579	1.157	1	1	nan	nan	nan	nan	nan	nan	
95 43	03 53 48.609	-00 03 01.74	10.803	0.51	-0.016	0.308	0.316	0.624	16	10	0.0022	0.002	0.0027	0.0027	0.0018	0.0035	
95 271	03 54 16.298	+00 18 52.20	13.669	1.287	0.916	0.734	0.717	1.453	15	7	0.0057	0.008	0.0127	0.0023	0.0023	0.0036	
95 328	03 54 19.470	+00 36 31.79	13.525	1.532	1.298	0.908	0.868	1.776	23	11	0.0029	0.0054	0.0186	0.0027	0.0015	0.0031	
95 329	03 54 23.90	+00 37 07.1	14.617	1.184	1.093	0.766	0.642	1.41	13	6	0.0047	0.0103	0.0311	0.0044	0.0094	0.0089	
95 330	03 54 30.757	+00 29 05.34	12.174	1.999	2.233	1.166	1.1	2.268	47	23	0.0025	0.0026	0.0137	0.002	0.0016	0.0028	
95 275	03 54 44.246	+00 27 20.28	13.479	1.763	1.74	1.011	0.931	1.944	40	20	0.0028	0.0054	0.0201	0.0022	0.0016	0.0025	
95 276	03 54 45.878	+00 25 54.10	14.118	1.225	1.218	0.748	0.646	1.395	14	7	0.0061	0.0102	0.0216	0.004	0.0032	0.0051	
95 60	03 54 49.54	-00 07 04.1	13.429	0.776	0.197	0.464	0.449	0.914	20	10	0.0031	0.0031	0.006	0.0029	0.0025	0.0034	
95 218	03 54 49.948	+00 10 08.39	12.095	0.708	0.208	0.397	0.37	0.767	20	14	0.0034	0.0022	0.0034	0.002	0.002	0.0027	
95 132	03 54 51.685	+00 05 21.42	12.067	0.445	0.311	0.263	0.287	0.546	41	35	0.0012	0.0013	0.002	0.001	0.0013	0.002	
95 62	03 55 00.406	-00 02 54.09	13.538	1.355	1.181	0.742	0.685	1.428	22	11	0.003	0.0053	0.0136	0.0019	0.0019	0.0028	
95 137	03 55 03.73	+00 03 26.7	14.44	1.457	1.136	0.893	0.845	1.737	1	1	nan	nan	nan	nan	nan	nan	
95 139	03 55 04.67	+00 03 07.9	12.196	0.923	0.677	0.562	0.476	1.039	3	2	0.0017	0.0046	0.0191	0.0023	0.0017	0.0035	
95 66	03 55 06.519	-00 09 31.90	12.892	0.715	0.167	0.426	0.438	0.864	2	1	0.0021	0.0071	0.0035	0.0007	0.0057	0.0049	
95 227	03 55 08.76	+00 14 34.5	15.779	0.771	0.034	0.515	0.552	1.067	14	7	0.0118	0.0289	0.0417	0.0115	0.0107	0.015	
95 142	03 55 09.394	+00 01 20.57	12.927	0.588	0.097	0.371	0.375	0.745	22	11	0.003	0.003	0.0036	0.0019	0.0017	0.0028	
95 74	03 55 31.141	-00 09 13.57	11.531	1.126	0.686	0.6	0.567	1.165	40	35	0.0015	0.0013	0.0029	0.0013	0.001	0.0013	
95 231	03 55 38.828	+00 10 43.42	14.216	0.452	0.297	0.27	0.29	0.56	26	13	0.0043	0.0045	0.0071	0.0045	0.0053	0.0076	
95 284	03 55 41.552	+00 26 37.73	13.669	1.398	1.073	0.818	0.766	1.586	20	9	0.004	0.0078	0.0239	0.0027	0.0036	0.0049	
95 285	03 55 44.114	+00 25 09.96	15.561	0.937	0.703	0.607	0.602	1.21	2	1	0.0071	0.0255	0.0636	0.0071	0.0064	0.0134	
95 149	03 55 44.444	+00 07 02.91	10.938	1.593	1.564	0.874	0.811	1.685	17	11	0.0051	0.0039	0.0095	0.0024	0.0017	0.0029	
95 236	03 56 13.342	+00 08 47.06	11.487	0.737	0.168	0.419	0.412	0.831	43	39	0.0004	0.001	0.0021	0.0008	0.0004	0.001	
96 21	04 51 15.760	-00 14 50.30	12.182	0.49	-0.004	0.299	0.297	0.598	2	1	0.0028	0.0007	0.0028	0.0057	0.0014	0.0035	
96 36	04 51 42.401	-00 10 09.47	10.589	0.247	0.118	0.133	0.137	0.271	73	63	0.0005	0.0006	0.0011	0.0005	0.0006	0.0008	
96 737	04 52 35.366	+00 22 30.03	11.719	1.338	1.146	0.735	0.696	1.432	62	53	0.0009	0.001	0.0022	0.0004	0.0006	0.0007	
96 409	04 52 58.515	+00 09 04.14	13.778	0.543	0.042	0.34	0.34	0.682	2	1	0.0106	0.0007	0.024	0.0085	0.0049	0.0127	
96 83	04 52 58.856	-00 14 41.18	11.719	0.181	0.205	0.092	0.096	0.189	76	65	0.0005	0.0005	0.0015	0.0005	0.0008	0.0008	
96 235	04 53 18.870	-00 05 01.54	11.138	1.077	0.89	0.557	0.509	1.066	70	60	0.0005	0.0007	0.0012	0.0003	0.0006	0.0005	
G97 42	05 28 00.15	+09 38 38.3	12.443	1.639	1.259	1.171	1.485	2.655	23	11	0.0017	0.0035	0.0186	0.0025	0.0031	0.0033	
G102 22	05 42 09.273	+12 29 21.60	11.509	1.621	1.134	1.211	1.59	2.8	20	10	0.0013	0.0027	0.0074	0.0034	0.0031	0.0042	
GD 71C	05 52 12.777	+15 52 44.30	12.325	1.159	0.849	0.655	0.628	1.274	19	11	0.0017	0.0022	0.0057	0.0012	0.0013	0.0017	
GD 71E	05 52 20.51	+15 52 08.1	13.634	0.824	0.428	0.472	0.423	0.892	14	7	0.0013	0.0027	0.0082	0.0012	0.0034	0.0037	
GD 71B	05 52 21.530	+15 52 41.61	12.599	0.68	0.166	0.404	0.399	0.8	19	11	0.0018	0.002	0.0026	0.0015	0.0016	0.0015	
GD 71D	05 52 24.788	+15 54 58.01	12.898	0.57	0.097	0.359	0.363	0.719	19	11	0.0018	0.002	0.0038	0.0017	0.0023	0.0024	
GD 71	05 52 27.619	+15 53 13.23	13.033	-0.248	-1.11	-0.138	-0.166	-0.304	129	115	0.0011	0.0009	0.001	0.0009	0.0017	0.0021	
GD 71A	05 52 33.562	+15 51 59.38	12.643	1.176	0.897	0.651	0.621	1.265	24	12	0.0013	0.0021	0.0051	0.0009	0.0009	0.0016	
97 249	05 57 07.560	+00 01 11.50	11.735	0.647	0.101	0.369	0.354	0.725	105	98	0.0007	0.0007	0.0011	0.0005	0.0006	0.0008	
97 345	05 57 33.181	+00 21 16.54	11.605	1.652	1.706	0.929	0.843	1.772	30	21	0.0015	0.0014	0.0092	0.001	0.0007	0.0013	
97 351	05 57 37.294	+00 13 43.99	9.779	0.201	0.092	0.124	0.14	0.264	136	117	0.0005	0.0006	0.0012	0.0005	0.0006	0.0007	
97 75	05 57 55.085	-00 09 28.55	11.483	1.872	2.1	1.047	0.952	1.999	20	12	0.0038	0.0047	0.0101	0.0029	0.0016	0.0038	
97 284	05 58 25.033	+00 05 13.57	10.787	1.364	1.089	0.774	0.726	1.5	110	101	0.0006	0.0008	0.002	0.0005	0.0005	0.0007	
97 224	05 58 44.042	-00 05 10.37	14.085	0.91	0.341	0.553	0.547	1.102	2	1	0.0127	0.0177	0.0049	0.012	0.0127	nan	
98 961	06 51 26.994	-00 15 36.06	13.089	1.283	1.003	0.701	0.662	1.362	2	1	0.0021	0.0007	0.0014	0.0021	nan	0.0021	
98 966	06 51 28.304	-00 16 25.44	14.001	0.469	0.357	0.283	0.331	0.613	2	1	0.0035	0.0014	0.0021	0.0014	0.0191	0.0205	
98 557	06 51 29.506	-00 25 06.29	14.78	1.397	1.072	0.755	0.741	1.494	2	1	0.0007	0.0544	0.0269	0.0092	0.0297	0.0198	
98 556	06 51 29.537	-00 24 50.78	14.137	0.338	0.126	0.196	0.243	0.437	6	3	0.0053	0.0053	0.0131	0.0057	0.0045	0.009	
98 562	06 51 30.674	-00 18 58.70	12.185	0.522	-0.002	0.305	0.303	0.607	2	1	0.0028	0.0049	0.0035	0.0014	0.0014	nan	
98 563	06 51 31.543	-00 26 25.60	14.162	0.416	-0.19	0.294	0.317	0.61	10	5	0.0051	0.0085	0.0073	0.0044	0.0079	0.0082	
98 978	06 51 33.730	-00 11 31.53	10.574	0.609	0.094	0.348	0.321	0.669	96	88	0.0004	0.0005	0.0011	0.0003	0.0004	0.0004	
98 L1	06 51 39.022	-00 26 36.28	15.672	1.243	0.776	0.73	0.712	1.445	3	2	0.0075	0.0462	0.0976	0.011	0.0254	0.0318	
98 580	06 51 39.76	-00 26 41.9	14.728	0.367	0.303	0.241	0.305	0.547	4	2	0.0255	0.0185	0.0185	0.0125	0.046	0.0395	
98 581	06 51 39.901	-00 25 41.86	14.556	0.238	0.161	0.118	0.244	0.361	7	3	0.0246	0.028	0.02	0.0193	0.0197	0.0155	
98 L2	06 51 40.52	-00 21 59.0	15.859	1.34	1.497	0.754	0.572	1.327	1	1	nan	nan	nan	nan	nan	nan	
98 L3	06 51 42.24	-00 15 55.3	14.614	1.936	1.837	1.091	1.047	2.142	4	2	0.0145	0.0265	0.145	0.009	0.007	0.011	
98 L4	06 51 42.25	-00 16 21.3	16.332	1.344	1.086	0.936	0.785	1.726	2	2	0.058	0.0325	0.3429	0.0205	0.0368	0.058	
98 590	06 51 42.973	-00 22 18.91	14.642	1.352	0.853	0.753	0.747	1.5	4	2	0.011	0.012	0.0525	0.005	0.0105	0.0135	
98 1002	06 51 43.094	-00 15 52.20	14.568	0.574	-0.027	0.354	0.379	0.733	4	2	0.0055	0.0065	0.011	0.007	0.0125	0.013	
98 614	06 51 48.634	-00 20 32.52	15.674	1.063	0.399	0.834	0.645	1.48	2	1	0.0424	0.0474	0.0311	0.0226	0.0368	0.058	
98 618	06 51 49.579	-00 21 15.75	12.723	2.192	2.144	1.254	1.151	2.407	14	7	0.0051	0.0075	0.0307	0.0035	0.0032	0.0045	
98 624	06 51 51.798	-00 20 16.03	13.811	0.791	0.394	0.417	0.404	0.822	2	1	0.0141	0.024	0.0042	0.0014	0.0212	0.0198	
